iter	Passed	Remaining
401	16704	66401
402	16749	66376
403	16800	66372
404	16849	66356
405	16891	66318
406	16940	66305
407	16980	66256
408	17021	66211
409	17063	66171
410	17108	66145
411	17166	66167
412	17225	66190
413	17277	66188
414	17332	66198
415	17400	66255
416	17453	66257
417	17503	66246
418	17551	66225
419	17593	66184
420	17631	66128
421	17666	66061
422	17713	66038
423	17780	66089
424	17835	66095
425	17885	66085
426	17927	66041
427	17970	66005
428	18017	65979
429	18056	65927
430	18096	65877
431	18139	65839
432	18187	65820
433	18229	65779
434	18276	65753
435	18323	65730
436	18371	65708
437	18412	65661
438	18451	65611
439	18496	65577
440	18546	65563
441	18594	65542
442	18633	65489
443	18672	65438
444	18723	65425
445	18771	65405
446	18826	65408
447	18870	65371
448	18915	65341
449	18955	65290
450	19008	65285
451	19054	65258
452	19102	65234
453	19160	65248
454	19211	65234
455	19260	65214
456	19302	65172
457	19347	65139
458	19398	65127
459	19456	65137
460	19509	65130
461	19553	65093
462	19603	65075
463	19660	65083
464	19707	65054
465	19763	65058
466	19809	65026
467	19852	64988
468	19892	64936
469	19932	64887
470	19970	64828
471	20009	64775
472	20050	64730
473	20086	64666
474	20126	64618
475	20163	64558
476	20201	64502
477	20236	64436
478	20277	64387
479	20313	64325
480	20349	64262
481	20397	64237
482	20441	64201
483	20483	64159
484	20535	64146
485	20586	64131
486	20635	64111
487	20677	64065
488	20714	64006
489	20766	63993
490	20816	63975
491	20857	63928
492	20894	63871
493	20933	63818
494	20974	63772
495	21011	63712
496	21053	63668
497	21090	63609
498	21130	63560
499	21167	63501
500	21206	63451
501	21246	63402
502	21291	63367
503	21330	63314
504	21368	63258
505	21405	63202
506	21442	63142
507	21484	63100
508	21521	63043
509	21561	62994
510	21601	62944
511	21640	62891
512	21691	62876
513	21736	62840
514	21778	62797
515	21820	62756
516	21870	62736
517	21927	62733
518	21976	62710
519	22032	62706
520	22094	62722
521	22148	62712
522	22200	62696
523	22244	62656
524	22285	62612
525	22325	62563
526	22372	62532
527	22412	62482
528	22454	62439
529	22495	62394
530	22541	62360
531	22601	62366
532	22658	62362
533	22705	62334
534	22753	62307
535	22818	62326
536	22876	62324
537	22926	62302
538	22986	62307
539	23035	62280
540	23079	62242
541	23117	62186
542	23161	62148
543	23201	62099
544	23249	62070
545	23298	62043
546	23344	62008
547	23384	61960
548	23430	61927
549	23478	61897
550	23534	61890
551	23581	61859
552	23619	61804
553	23667	61774
554	23711	61734
555	23751	61685
556	23790	61632
557	23831	61586
558	23878	61553
559	23923	61518
560	23973	61492
561	24016	61451
562	24068	61431
563	24119	61411
564	24163	61370
565	24214	61349
566	24261	61316
567	24297	61257
568	24336	61204
569	24378	61159
570	24419	61113
571	24462	61069
572	24498	61012
573	24536	60956
574	24571	60894
575	24606	60832
576	24652	60797
577	24689	60741
578	24739	60716
579	24789	60691
580	24840	60668
581	24890	60643
582	24941	60621
583	24993	60601
584	25056	60606
585	25110	60590
586	25172	60594
587	25228	60583
588	25285	60572
589	25342	60564
590	25396	60546
591	25450	60530
592	25498	60500
593	25552	60482
594	25608	60471
595	25664	60457
596	25719	60443
597	25772	60422
598	25829	60412
599	25882	60393
600	25937	60377
601	25991	60359
602	26047	60345
603	26100	60323
604	26156	60311
605	26218	60310
606	26280	60311
607	26331	60284
608	26397	60293
609	26450	60271
610	26506	60257
611	26559	60236
612	26605	60198
613	26654	60168
614	26704	60139
615	26752	60106
616	26795	60061
617	26851	60047
618	26903	60023
619	26948	59981
620	26996	59947
621	27041	59908
622	27096	59890
623	27150	59870
624	27204	59850
625	27253	59817
626	27318	59820
627	27375	59806
628	27431	59791
629	27486	59773
630	27549	59771
631	27605	59754
632	27656	59726
633	27712	59709
634	27767	59688
635	27812	59647
636	27859	59612
637	27916	59596
638	27957	59545
639	28004	59510
640	28056	59483
641	28111	59463
642	28160	59429
643	28213	59406
644	28271	59391
645	28322	59364
646	28380	59349
647	28444	59347
648	28504	59336
649	28560	59318
650	28617	59301
651	28679	59294
652	28738	59281
653	28796	59265
654	28848	59238
655	28902	59214
656	28957	59193
657	29014	59176
658	29071	59157
659	29110	59102
660	29151	59053
661	29189	58995
662	29228	58941
663	29278	58910
664	29320	58861
665	29357	58804
666	29401	58758
667	29472	58768
668	29523	58738
669	29577	58714
670	29642	58710
671	29716	58726
672	29799	58758
673	29873	58772
674	29937	58765
675	30011	58780
676	30065	58754
677	30115	58721
678	30180	58716
679	30243	58707
680	30298	58684
681	30362	58677
682	30440	58697
683	30496	58673
684	30560	58667
685	30624	58660
686	30684	58644
687	30738	58617
688	30786	58580
689	30837	58546
690	30881	58500
691	30930	58463
692	30976	58422
693	31019	58373
694	31065	58331
695	31104	58276
696	31145	58225
697	31184	58169
698	31219	58107
699	31267	58067
700	31304	58008
701	31343	57953
702	31382	57899
703	31419	57841
704	31470	57807
705	31516	57765
706	31558	57716
707	31594	57655
708	31633	57599
709	31677	57554
710	31721	57509
711	31761	57456
712	31806	57413
713	31862	57388
714	31922	57370
715	31967	57327
716	32014	57286
717	32064	57251
718	32122	57230
719	32164	57181
720	32201	57123
721	32237	57062
722	32286	57025
723	32328	56977
724	32377	56939
725	32425	56900
726	32476	56866
727	32520	56821
728	32559	56766
729	32598	56711
730	32639	56662
731	32685	56619
732	32730	56574
733	32778	56537
734	32829	56502
735	32884	56475
736	32934	56439
737	32996	56424
738	33055	56404
739	33110	56376
740	33175	56366
741	33236	56350
742	33299	56335
743	33345	56293
744	33396	56258
745	33446	56222
746	33487	56171
747	33539	56138
748	33588	56100
749	33634	56057
750	33678	56011
751	33734	55985
752	33777	55936
753	33820	55889
754	33867	55848
755	33923	55821
756	33994	55818
757	34057	55804
758	34137	55815
759	34193	55790
760	34239	55745
761	34283	55699
762	34339	55672
763	34390	55636
764	34439	55597
765	34506	55588
766	34558	55554
767	34613	55525
768	34659	55482
769	34707	55441
770	34756	55403
771	34803	55360
772	34848	55315
773	34885	55258
774	34927	55207
775	34966	55152
776	35002	55094
777	35044	55043
778	35082	54988
779	35124	54937
780	35163	54883
781	35212	54845
782	35262	54807
783	35328	54794
784	35382	54763
785	35442	54741
786	35499	54715
787	35556	54687
788	35632	54690
789	35682	54652
790	35730	54611
791	35779	54572
792	35825	54529
793	35873	54488
794	35923	54449
795	35966	54400
796	36008	54351
797	36050	54301
798	36096	54257
799	36153	54229
800	36199	54185
801	36241	54136
802	36286	54090
803	36327	54039
804	36380	54005
805	36434	53973
806	36498	53956
807	36562	53939
808	36631	53927
809	36691	53904
810	36750	53879
811	36797	53836
812	36843	53793
813	36889	53748
814	36939	53710
815	36994	53677
816	37050	53648
817	37102	53613
818	37147	53566
819	37190	53517
820	37229	53464
821	37270	53412
822	37315	53365
823	37360	53320
824	37404	53273
825	37449	53226
826	37506	53199
827	37562	53168
828	37612	53129
829	37652	53075
830	37703	53038
831	37754	53002
832	37800	52956
833	37839	52902
834	37879	52849
835	37919	52796
836	37956	52739
837	37995	52685
838	38037	52635
839	38076	52582
840	38117	52531
841	38158	52479
842	38200	52429
843	38240	52376
844	38284	52329
845	38327	52281
846	38365	52225
847	38407	52175
848	38447	52124
849	38486	52069
850	38528	52020
851	38574	51975
852	38633	51949
853	38687	51915
854	38745	51886
855	38796	51849
856	38857	51825
857	38906	51784
858	38948	51734
859	38998	51696
860	39051	51660
861	39111	51634
862	39156	51589
863	39203	51545
864	39245	51495
865	39284	51441
866	39327	51393
867	39371	51346
868	39412	51294
869	39454	51244
870	39494	51193
871	39533	51139
872	39577	51092
873	39618	51041
874	39657	50988
875	39697	50936
876	39743	50891
877	39795	50855
878	39843	50812
879	39882	50759
880	39923	50708
881	39972	50668
882	40020	50625
883	40066	50581
884	40105	50528
885	40143	50474
886	40186	50425
887	40229	50377
888	40265	50320
889	40308	50272
890	40353	50226
891	40392	50173
892	40433	50123
893	40473	50071
894	40519	50027
895	40570	49988
896	40619	49947
897	40664	49901
898	40708	49855
899	40760	49818
900	40818	49789
901	40876	49758
902	40930	49723
903	40987	49693
904	41030	49644
905	41087	49613
906	41147	49585
907	41199	49548
908	41251	49511
909	41303	49473
910	41357	49438
911	41405	49396
912	41460	49361
913	41521	49335
914	41574	49298
915	41626	49260
916	41665	49208
917	41706	49157
918	41747	49107
919	41792	49060
920	41832	49009
921	41871	48956
922	41912	48905
923	41952	48853
924	41997	48808
925	42047	48767
926	42091	48721
927	42132	48670
928	42172	48618
929	42226	48582
930	42282	48549
931	42325	48501
932	42365	48450
933	42403	48396
934	42445	48347
935	42485	48295
936	42528	48247
937	42570	48198
938	42612	48149
939	42650	48095
940	42696	48050
941	42735	47998
942	42775	47946
943	42822	47902
944	42863	47852
945	42901	47799
946	42942	47748
947	42980	47696
948	43022	47646
949	43064	47597
950	43112	47554
951	43161	47513
952	43209	47471
953	43248	47419
954	43294	47374
955	43343	47333
956	43386	47285
957	43429	47237
958	43468	47185
959	43512	47138
960	43563	47099
961	43611	47057
962	43668	47023
963	43717	46982
964	43753	46927
965	43797	46880
966	43847	46840
967	43901	46804
968	43954	46766
969	43998	46720
970	44051	46682
971	44099	46639
972	44150	46600
973	44203	46563
974	44259	46528
975	44309	46489
976	44348	46436
977	44398	46395
978	44449	46356
979	44501	46317
980	44553	46279
981	44606	46241
982	44648	46192
983	44699	46153
984	44751	46114
985	44793	46065
986	44833	46014
987	44872	45962
988	44913	45912
989	44954	45863
990	44992	45810
991	45029	45755
992	45067	45702
993	45108	45653
994	45146	45600
995	45182	45545
996	45222	45494
997	45264	45446
998	45309	45400
999	45359	45359
1000	45407	45317
1001	45448	45267
1002	45494	45222
1003	45536	45174
1004	45588	45135
1005	45631	45087
1006	45675	45040
1007	45710	44985
1008	45749	44933
1009	45788	44881
1010	45837	44840
1011	45891	44803
1012	45934	44755
1013	45976	44706
1014	46015	44655
1015	46054	44604
1016	46096	44555
1017	46135	44504
1018	46172	44450
1019	46213	44401
1020	46253	44351
1021	46291	44298
1022	46332	44249
1023	46373	44199
1024	46415	44151
1025	46462	44107
1026	46520	44074
1027	46569	44032
1028	46612	43984
1029	46658	43940
1030	46714	43905
1031	46760	43860
1032	46796	43806
1033	46837	43756
1034	46877	43706
1035	46918	43657
1036	46957	43606
1037	46996	43555
1038	47037	43506
1039	47078	43457
1040	47118	43407
1041	47156	43355
1042	47196	43304
1043	47236	43254
