iter	Logloss
0	0.6474398761
1	0.6056277204
2	0.5724148921
3	0.5452353127
4	0.5252342552
5	0.5087454225
6	0.492699875
7	0.4806749596
8	0.4653816497
9	0.4560367802
10	0.4481516043
11	0.441061639
12	0.4310728278
13	0.4239619385
14	0.4186594667
15	0.4138233473
16	0.4094452924
17	0.4045676275
18	0.4000927339
19	0.3969054256
20	0.3940865474
21	0.3887868999
22	0.38631179
23	0.3808138067
24	0.378280067
25	0.3741002615
26	0.368296978
27	0.3634493684
28	0.361406262
29	0.3595742491
30	0.3566781117
31	0.3531356172
32	0.3501490227
33	0.3474904163
34	0.3455772911
35	0.3441823198
36	0.3429854292
37	0.3412545349
38	0.3390995843
39	0.3372377718
40	0.3360766938
41	0.334999837
42	0.3340108645
43	0.3330233746
44	0.331169286
45	0.3301925566
46	0.3293136783
47	0.3285921137
48	0.3271709787
49	0.326325632
50	0.324500842
51	0.3238157022
52	0.3225521796
53	0.3214794005
54	0.3204990033
55	0.3192945502
56	0.3186979613
57	0.3164149322
58	0.3158126865
59	0.3142631481
60	0.3127143558
61	0.3107657253
62	0.3101419
63	0.3089477639
64	0.3077995983
65	0.3073165033
66	0.3056175628
67	0.3051979869
68	0.3040433155
69	0.3036699036
70	0.3031410553
71	0.3017936812
72	0.3009338533
73	0.3002128486
74	0.299364309
75	0.2989474888
76	0.2981335421
77	0.2973444417
78	0.2969840234
79	0.2964945366
80	0.2955871397
81	0.2952199974
82	0.2945657758
83	0.2941698424
84	0.2934523156
85	0.2925305376
86	0.2914521268
87	0.2911895686
88	0.2905724722
89	0.2900622053
90	0.2897170724
91	0.2894903863
92	0.2891124014
93	0.2885437108
94	0.2879453622
95	0.2875533615
96	0.2871241193
97	0.2868202483
98	0.2862511129
99	0.285983552
100	0.2857265021
101	0.2846526828
102	0.2841337026
103	0.2835140794
104	0.2830180389
105	0.282105863
106	0.2815320091
107	0.2813126801
108	0.2810984237
109	0.280842467
110	0.280604442
111	0.2804238975
112	0.2802477139
113	0.2795387884
114	0.2793704974
115	0.2792395805
116	0.2790801261
117	0.2784955029
118	0.2782870537
119	0.2780943732
120	0.2774231808
121	0.2771393082
122	0.2768713623
123	0.2766727947
124	0.2760210381
125	0.2753949272
126	0.2751943005
127	0.2750842611
128	0.2748744537
129	0.2747476284
130	0.274408577
131	0.2739920604
132	0.2738896213
133	0.2735765292
134	0.2734370628
135	0.2730362689
136	0.2728944774
137	0.2724856831
138	0.2723786649
139	0.2715752863
140	0.2714054884
141	0.2712888244
142	0.2710672499
143	0.2708802649
144	0.2706336839
145	0.2703291711
146	0.269497442
147	0.2693765464
148	0.2692431831
149	0.2691217943
150	0.2689959462
151	0.2685262253
152	0.2682426742
153	0.2680787485
154	0.2680181993
155	0.2678382042
156	0.2676369114
157	0.2673403617
158	0.2672726371
159	0.2671652757
160	0.2670878764
161	0.266965414
162	0.2666124067
163	0.2664962319
164	0.2664187202
165	0.2661717542
166	0.2660846289
167	0.2659849886
168	0.2658916317
169	0.2657081746
170	0.2655932345
171	0.265322572
172	0.2652289638
173	0.2651036742
174	0.2649934795
175	0.2646612151
176	0.2645644574
177	0.2642126811
178	0.2639342001
179	0.2638143456
180	0.2636492345
181	0.2630617774
182	0.2627773997
183	0.2627210533
184	0.2625617074
185	0.26245702
186	0.2623750663
187	0.2623069717
188	0.2622326371
189	0.2621534386
190	0.2620794972
191	0.2619130058
192	0.2616910939
193	0.2614616264
194	0.2613011204
195	0.2612181209
196	0.2611383158
197	0.2609070528
198	0.2603647714
199	0.2602932569
200	0.2602127395
201	0.2601087297
202	0.2597941185
203	0.2594949325
204	0.2592569364
205	0.2591714151
206	0.2591128546
207	0.2589582176
208	0.2586922857
209	0.2585818105
210	0.2583487355
211	0.2582197854
212	0.2581518879
213	0.2580898504
214	0.2580348874
215	0.2579768416
216	0.2578205041
217	0.2577472746
218	0.257653762
219	0.2575701726
220	0.2572372043
221	0.2571498122
222	0.256881971
223	0.2567754038
224	0.256624518
225	0.2564262651
226	0.2563532515
227	0.2563098329
228	0.2562105113
229	0.2558801963
230	0.2557307434
231	0.2556622071
232	0.2555403996
233	0.255478949
234	0.2551086771
235	0.2550355545
236	0.2548560074
237	0.254798787
238	0.2547491998
239	0.2546761173
240	0.2546021448
241	0.2544509597
242	0.2543053768
243	0.2542031597
244	0.2541720461
245	0.2540220642
246	0.2539062128
247	0.2536789427
248	0.2536083832
249	0.2535586501
250	0.2535184181
251	0.2531818965
252	0.2529681198
253	0.2529536911
254	0.2528853296
255	0.2527675577
256	0.2526653234
257	0.2525917331
258	0.2523973802
259	0.2523625422
260	0.2523090661
261	0.2522506853
262	0.252200664
263	0.2518834945
264	0.2518414652
265	0.2517920792
266	0.2517237314
267	0.2514949124
268	0.2514544994
269	0.2512850799
270	0.2512362782
271	0.2512014545
272	0.2511402184
273	0.2508702916
274	0.2507880692
275	0.2507174792
276	0.2506425599
277	0.2505345988
278	0.2504689062
279	0.2504050777
280	0.2503391075
281	0.2502922339
282	0.2502487713
283	0.2499781327
284	0.2499275898
285	0.2499000907
286	0.2498646028
287	0.249821415
288	0.2497569202
289	0.2496986535
290	0.2496735725
291	0.2496291082
292	0.2494948757
293	0.2494147335
294	0.2493732578
295	0.2493344756
296	0.2491376155
297	0.2490808316
298	0.2490302903
299	0.2489354807
300	0.2488539165
301	0.2488099937
302	0.2487937302
303	0.2485494615
304	0.2484919913
305	0.2482976199
306	0.2482494781
307	0.2482090115
308	0.2480907646
309	0.2478749726
310	0.2478117004
311	0.2477301383
312	0.2476710592
313	0.2475630144
314	0.2475208633
315	0.2474734751
316	0.2474298989
317	0.247225816
318	0.2471258095
319	0.2470804061
320	0.2469429776
321	0.2468835144
322	0.2468249466
323	0.2467099156
324	0.2466756162
325	0.2465885761
326	0.2465297624
327	0.2464288401
328	0.2462558842
329	0.2462172966
330	0.24616885
331	0.2460873608
332	0.2460532436
333	0.2460141934
334	0.2459597559
335	0.2459153047
336	0.2458888062
337	0.2458176285
338	0.2457650408
339	0.2456745038
340	0.2455825059
341	0.2453511048
342	0.2453161498
343	0.2452686555
344	0.2452572818
345	0.2452172138
346	0.2451989315
347	0.245165204
348	0.2451158987
349	0.2450824254
350	0.2450627281
351	0.2449877007
352	0.2449073837
353	0.2447885868
354	0.2447441599
355	0.2446186238
356	0.2445572607
357	0.2445155224
358	0.2444291756
359	0.2442171741
360	0.2442042767
361	0.2441733118
362	0.2441290364
363	0.2440901478
364	0.2440131163
365	0.2439571683
366	0.2439205637
367	0.2438838442
368	0.2438340615
369	0.2438074437
370	0.2437774189
371	0.2437522757
372	0.2437235821
373	0.2436802192
374	0.2435507754
375	0.2435115708
376	0.2434420271
377	0.2433562938
378	0.243275506
379	0.243151676
380	0.2430683334
381	0.2429677854
382	0.242930531
383	0.2428993362
384	0.2428480578
385	0.2427538545
386	0.24272461
387	0.2426613695
388	0.2426230478
389	0.242577229
390	0.2425372732
391	0.2424519304
392	0.2424045907
393	0.2423685195
394	0.2423301249
395	0.242304732
396	0.2422610566
397	0.2421707987
398	0.242136945
399	0.2419983812
400	0.241957275
401	0.2418557259
402	0.2418329756
403	0.2417900847
404	0.2417667506
405	0.2417348834
406	0.2417085023
407	0.241674189
408	0.2416577819
409	0.2416240328
410	0.2415345133
411	0.2414925952
412	0.2414672205
413	0.2413931052
414	0.2413094382
415	0.2412792216
416	0.241251634
417	0.241214328
418	0.2411804467
419	0.2411552259
420	0.2411055741
421	0.2410023913
422	0.2409678138
423	0.2409356169
424	0.2409049488
425	0.2408675486
426	0.2408231409
427	0.2407374889
428	0.240695807
429	0.2405988186
430	0.2405478074
431	0.2404614488
432	0.2404442058
433	0.2404024909
434	0.2403646073
435	0.2403258069
436	0.2402704648
437	0.2402406059
438	0.2401498364
439	0.2401281885
440	0.2400862944
441	0.240060088
442	0.2400372912
443	0.2400041945
444	0.2399346782
445	0.2398915369
446	0.2398211971
447	0.239798552
448	0.239770309
449	0.2397435285
450	0.2396783761
451	0.2396498124
452	0.2396251215
453	0.2395681818
454	0.2394997225
455	0.2394486643
456	0.2394184824
457	0.2393775435
458	0.2393573324
459	0.239327647
460	0.2392655251
461	0.2392511651
462	0.239208412
463	0.2391614021
464	0.2391337132
465	0.2390326344
466	0.2389858655
467	0.238931728
468	0.2389060109
469	0.2388735031
470	0.2388555806
471	0.2388307284
472	0.2388059551
473	0.238776888
474	0.238753635
475	0.23868895
476	0.2386080936
477	0.2385761607
478	0.2383983513
479	0.2383447019
480	0.2382955106
481	0.2382757654
482	0.2382453078
483	0.2381464827
484	0.2381202395
485	0.2381031636
486	0.2380768916
487	0.2380489921
488	0.2380165535
489	0.2379790015
490	0.2379454671
491	0.2379025241
492	0.2378536477
493	0.2377996757
494	0.2376801301
495	0.2376432368
496	0.2376210573
497	0.2375718787
498	0.2375361942
499	0.2375025892
500	0.23747144
501	0.2374297255
502	0.237402341
503	0.2373451095
504	0.2373193115
505	0.2373107695
506	0.2372765784
507	0.2372505031
508	0.2372365972
509	0.2371914287
510	0.2371115214
511	0.2370852612
512	0.2370509026
513	0.2370331395
514	0.2370028584
515	0.2369713366
516	0.2369481649
517	0.2369081587
518	0.2368951126
519	0.2368488288
520	0.2368194547
521	0.2367413886
